parameter,value,unit
mine_cost_usd_per_tonne,9.5,USD/t
plant_cost_usd_per_tonne,8.5,USD/t
g_and_a_cost_usd_per_tonne,4.0,USD/t
base_unit_cost_usd_per_tonne,22.0,USD/t
expansion_unit_cost_usd_per_tonne,21.299999999999997,USD/t
income_tax_rate,0.295,decimal
royalty_rate,0.03,decimal
special_levy_rate,0.01,decimal
wacc,0.1,decimal
working_capital_ratio,0.07,decimal
payable_rate,0.96,decimal
tc_rc_usd_per_lb,0.053,USD/lb
initial_capex_year0_usd,300000000.0,USD
initial_capex_year1_usd,200000000.0,USD
sustaining_capex_usd,10000000.0,USD
expansion_uplift_pct,0.2,decimal
expansion_midpoint_year,2.5,year
expansion_steepness,2.0,decimal
benchmark_npv_excel,179410192.28525418,PEN
benchmark_irr_excel,0.15974365542912494,decimal
mu_price_returns,0.04973471381043746,decimal
sigma_price_returns,0.21966815278260027,decimal
grade_trend_slope,-0.00019636363636363642,grade_decimal
grade_trend_intercept,0.005041818181818182,grade_decimal
average_recovery,0.8420000000000001,decimal
annual_decline_rate,0.015,decimal
