measure_order,measure_name,measure_group,display_folder,table_name,dashboard_page,page_order,starter_kit_scope,format_hint,format_string,preferred_visual_type,context_requirement,business_question,description,dax_template
1,Monthly Throughput Actual,Executive Monitoring,01 Executive Overview,kpi_monthly_summary,Executive Overview,1,Core Monthly Story,Whole Number,"#,##0",KPI Card or Matrix,Use with a single month filter or single month page context.,Headline actual throughput for the selected month or filter context.,Headline actual throughput for the selected month or filter context.,Monthly Throughput Actual = SUM(kpi_monthly_summary[throughput_tonnes_actual])
2,Monthly Copper Production Actual,Executive Monitoring,01 Executive Overview,kpi_monthly_summary,Executive Overview,1,Core Monthly Story,Whole Number,"#,##0",KPI Card or Matrix,Use with a single month filter or single month page context.,Headline actual copper production for the selected month or filter context.,Headline actual copper production for the selected month or filter context.,Monthly Copper Production Actual = SUM(kpi_monthly_summary[copper_production_tonnes_actual])
3,Monthly Revenue Proxy Actual,Executive Monitoring,01 Executive Overview,kpi_monthly_summary,Executive Overview,1,Core Monthly Story,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use with a single month filter or single month page context.,Monthly revenue proxy used for management control and margin review.,Monthly revenue proxy used for management control and margin review.,Monthly Revenue Proxy Actual = SUM(kpi_monthly_summary[revenue_proxy_usd_actual])
4,Monthly EBITDA Proxy Actual,Executive Monitoring,01 Executive Overview,kpi_monthly_summary,Executive Overview,1,Core Monthly Story,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use with a single month filter or single month page context.,Monthly EBITDA proxy used for executive review.,Monthly EBITDA proxy used for executive review.,Monthly EBITDA Proxy Actual = SUM(kpi_monthly_summary[ebitda_proxy_usd_actual])
5,Monthly Operating Cash Flow Proxy Actual,Executive Monitoring,01 Executive Overview,kpi_monthly_summary,Executive Overview,1,Core Monthly Story,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use with a single month filter or single month page context.,Monthly operating cash flow proxy used for liquidity review.,Monthly operating cash flow proxy used for liquidity review.,Monthly Operating Cash Flow Proxy Actual = SUM(kpi_monthly_summary[operating_cash_flow_proxy_usd_actual])
6,Monthly Free Cash Flow Proxy Actual,Executive Monitoring,01 Executive Overview,kpi_monthly_summary,Executive Overview,1,Core Monthly Story,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use with a single month filter or single month page context.,Monthly free cash flow proxy used for liquidity review.,Monthly free cash flow proxy used for liquidity review.,Monthly Free Cash Flow Proxy Actual = SUM(kpi_monthly_summary[free_cash_flow_proxy_usd_actual])
7,Monthly Overall Alert Level,Executive Monitoring,01 Executive Overview,kpi_monthly_summary,Executive Overview,1,Core Monthly Story,Text,,Card or Table,Use with a single month filter or single month page context.,Overall alert state for the selected month or filter context.,Overall alert state for the selected month or filter context.,"Monthly Overall Alert Level = VAR CriticalAlerts = SUM(kpi_monthly_summary[critical_alert_count]) VAR WarningAlerts = SUM(kpi_monthly_summary[warning_alert_count]) RETURN IF(CriticalAlerts > 0, ""critical"", IF(WarningAlerts > 0, ""warning"", ""on_track""))"
8,Monthly Primary Alert Metric,Executive Monitoring,01 Executive Overview,kpi_monthly_summary,Executive Overview,1,Core Monthly Story,Text,,Card or Table,Use with a single month filter or single month page context.,Primary KPI driving the alert state for the selected month or filter context.,Primary KPI driving the alert state for the selected month or filter context.,"Monthly Primary Alert Metric = SELECTEDVALUE(kpi_monthly_summary[primary_alert_metric], ""Multiple Sites Selected"")"
9,Monthly Throughput Variance %,Variance Review,02 Monthly Actual vs Plan,kpi_monthly_summary,Monthly Actual vs Plan,2,Core Monthly Story,Percentage,0.0%;-0.0%;0.0%,"KPI Card, Column Chart, or Matrix",Use with a single month filter or single month page context.,Throughput deviation versus plan for the selected month.,Throughput deviation versus plan for the selected month.,Monthly Throughput Variance % = MAX(kpi_monthly_summary[throughput_tonnes_variance_pct])
10,Monthly Head Grade Variance %,Variance Review,02 Monthly Actual vs Plan,kpi_monthly_summary,Monthly Actual vs Plan,2,Core Monthly Story,Percentage,0.0%;-0.0%;0.0%,"KPI Card, Column Chart, or Matrix",Use with a single month filter or single month page context.,Head grade deviation versus plan for the selected month.,Head grade deviation versus plan for the selected month.,Monthly Head Grade Variance % = MAX(kpi_monthly_summary[head_grade_pct_variance_pct])
11,Monthly Recovery Variance %,Variance Review,02 Monthly Actual vs Plan,kpi_monthly_summary,Monthly Actual vs Plan,2,Core Monthly Story,Percentage,0.0%;-0.0%;0.0%,"KPI Card, Column Chart, or Matrix",Use with a single month filter or single month page context.,Recovery deviation versus plan for the selected month.,Recovery deviation versus plan for the selected month.,Monthly Recovery Variance % = MAX(kpi_monthly_summary[recovery_pct_variance_pct])
12,Monthly Copper Production Variance %,Variance Review,02 Monthly Actual vs Plan,kpi_monthly_summary,Monthly Actual vs Plan,2,Core Monthly Story,Percentage,0.0%;-0.0%;0.0%,"KPI Card, Column Chart, or Matrix",Use with a single month filter or single month page context.,Copper production deviation versus plan for the selected month.,Copper production deviation versus plan for the selected month.,Monthly Copper Production Variance % = MAX(kpi_monthly_summary[copper_production_tonnes_variance_pct])
13,Monthly Unit Cost Variance %,Variance Review,02 Monthly Actual vs Plan,kpi_monthly_summary,Monthly Actual vs Plan,2,Core Monthly Story,Percentage,0.0%;-0.0%;0.0%,"KPI Card, Column Chart, or Matrix",Use with a single month filter or single month page context.,Unit cost deviation versus plan for the selected month.,Unit cost deviation versus plan for the selected month.,Monthly Unit Cost Variance % = MAX(kpi_monthly_summary[unit_cost_usd_per_tonne_variance_pct])
14,Monthly Revenue Proxy,Executive Monitoring,01 Executive Overview,kpi_monthly_summary,Executive Overview,1,Core Monthly Story,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use with a single month filter or single month page context.,Monthly revenue proxy used for management control and margin review.,Monthly revenue proxy used for management control and margin review.,Monthly Revenue Proxy = SUM(kpi_monthly_summary[revenue_proxy_usd_actual])
15,Monthly EBITDA Proxy,Cost and Margin Review,04 Cost and Margin,kpi_monthly_summary,Cost and Margin,4,Core Monthly Story,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use with a single month filter or single month page context.,Monthly EBITDA proxy for cost-and-margin monitoring.,Monthly EBITDA proxy for cost-and-margin monitoring.,Monthly EBITDA Proxy = SUM(kpi_monthly_summary[ebitda_proxy_usd_actual])
16,Monthly Operating Cash Flow Proxy,Executive Monitoring,01 Executive Overview,kpi_monthly_summary,Executive Overview,1,Core Monthly Story,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use with a single month filter or single month page context.,Monthly operating cash flow proxy for headline liquidity monitoring.,Monthly operating cash flow proxy for headline liquidity monitoring.,Monthly Operating Cash Flow Proxy = SUM(kpi_monthly_summary[operating_cash_flow_proxy_usd_actual])
17,Monthly Free Cash Flow Proxy,Cost and Margin Review,04 Cost and Margin,kpi_monthly_summary,Cost and Margin,4,Core Monthly Story,Currency,"$#,##0.00;($#,##0.00);$0.00","KPI Card, Line Chart, or Matrix",Use with a single month filter or single month page context.,Monthly free cash flow proxy for margin and cash review.,Monthly free cash flow proxy for margin and cash review.,Monthly Free Cash Flow Proxy = SUM(kpi_monthly_summary[free_cash_flow_proxy_usd_actual])
18,Monthly Critical Alerts,Executive Monitoring,01 Executive Overview,kpi_monthly_summary,Executive Overview,1,Core Monthly Story,Whole Number,"#,##0",KPI Card or Matrix,Use with a single month filter or single month page context.,Count of critical KPI deviations in the selected context.,Count of critical KPI deviations in the selected context.,Monthly Critical Alerts = SUM(kpi_monthly_summary[critical_alert_count])
19,Monthly Warning Alerts,Executive Monitoring,01 Executive Overview,kpi_monthly_summary,Executive Overview,1,Core Monthly Story,Whole Number,"#,##0",KPI Card or Matrix,Use with a single month filter or single month page context.,Count of warning KPI deviations in the selected context.,Count of warning KPI deviations in the selected context.,Monthly Warning Alerts = SUM(kpi_monthly_summary[warning_alert_count])
20,Monthly Primary Alert Count,Executive Monitoring,01 Executive Overview,kpi_monthly_summary,Executive Overview,1,Core Monthly Story,Whole Number,"#,##0",KPI Card or Matrix,Use with a single month filter or single month page context.,Number of monthly rows with at least one material deviation.,Number of monthly rows with at least one material deviation.,"Monthly Primary Alert Count = SUMX(kpi_monthly_summary, IF(kpi_monthly_summary[overall_alert_level] <> ""on_track"", 1, 0))"
21,Monthly Plan Throughput,Variance Review,02 Monthly Actual vs Plan,fact_monthly_actual_vs_plan,Monthly Actual vs Plan,2,Core Monthly Story,Whole Number,"#,##0",KPI Card or Matrix,Use with a single month filter or single month page context.,Planned throughput for the selected month.,Planned throughput for the selected month.,"Monthly Plan Throughput = CALCULATE(MAX(fact_monthly_actual_vs_plan[plan_value]), fact_monthly_actual_vs_plan[metric] = ""throughput_tonnes"")"
22,Monthly Actual Throughput,Variance Review,02 Monthly Actual vs Plan,fact_monthly_actual_vs_plan,Monthly Actual vs Plan,2,Core Monthly Story,Whole Number,"#,##0",KPI Card or Matrix,Use with a single month filter or single month page context.,Actual throughput for the selected month.,Actual throughput for the selected month.,"Monthly Actual Throughput = CALCULATE(MAX(fact_monthly_actual_vs_plan[actual_value]), fact_monthly_actual_vs_plan[metric] = ""throughput_tonnes"")"
23,Monthly Throughput Variance,Variance Review,02 Monthly Actual vs Plan,fact_monthly_actual_vs_plan,Monthly Actual vs Plan,2,Core Monthly Story,Whole Number,"#,##0",KPI Card or Matrix,Use with a single month filter or single month page context.,Absolute throughput variance for the selected month.,Absolute throughput variance for the selected month.,"Monthly Throughput Variance = CALCULATE(MAX(fact_monthly_actual_vs_plan[variance_value]), fact_monthly_actual_vs_plan[metric] = ""throughput_tonnes"")"
24,Monthly Plan Head Grade,Variance Review,02 Monthly Actual vs Plan,fact_monthly_actual_vs_plan,Monthly Actual vs Plan,2,Core Monthly Story,Percentage,0.0%;-0.0%;0.0%,"KPI Card, Column Chart, or Matrix",Use with a single month filter or single month page context.,Planned head grade for the selected month.,Planned head grade for the selected month.,"Monthly Plan Head Grade = CALCULATE(MAX(fact_monthly_actual_vs_plan[plan_value]), fact_monthly_actual_vs_plan[metric] = ""head_grade_pct"")"
25,Monthly Head Grade Actual,Process Diagnostics,03 Process Performance,fact_monthly_actual_vs_plan,Process Performance,3,Core Monthly Story,Decimal Number,"#,##0.00","KPI Card, Line Chart, or Matrix",Use with a single month filter or single month page context.,Actual head grade for the selected month.,Actual head grade for the selected month.,"Monthly Head Grade Actual = CALCULATE(MAX(fact_monthly_actual_vs_plan[actual_value]), fact_monthly_actual_vs_plan[metric] = ""head_grade_pct"")"
26,Monthly Head Grade Variance,Variance Review,02 Monthly Actual vs Plan,fact_monthly_actual_vs_plan,Monthly Actual vs Plan,2,Core Monthly Story,Decimal Number,"#,##0.00","KPI Card, Line Chart, or Matrix",Use with a single month filter or single month page context.,Absolute head grade variance for the selected month.,Absolute head grade variance for the selected month.,"Monthly Head Grade Variance = CALCULATE(MAX(fact_monthly_actual_vs_plan[variance_value]), fact_monthly_actual_vs_plan[metric] = ""head_grade_pct"")"
27,Monthly Plan Recovery,Variance Review,02 Monthly Actual vs Plan,fact_monthly_actual_vs_plan,Monthly Actual vs Plan,2,Core Monthly Story,Percentage,0.0%;-0.0%;0.0%,"KPI Card, Column Chart, or Matrix",Use with a single month filter or single month page context.,Planned recovery for the selected month.,Planned recovery for the selected month.,"Monthly Plan Recovery = CALCULATE(MAX(fact_monthly_actual_vs_plan[plan_value]), fact_monthly_actual_vs_plan[metric] = ""recovery_pct"")"
28,Monthly Recovery Actual,Process Diagnostics,03 Process Performance,fact_monthly_actual_vs_plan,Process Performance,3,Core Monthly Story,Decimal Number,"#,##0.00","KPI Card, Line Chart, or Matrix",Use with a single month filter or single month page context.,Actual recovery for the selected month.,Actual recovery for the selected month.,"Monthly Recovery Actual = CALCULATE(MAX(fact_monthly_actual_vs_plan[actual_value]), fact_monthly_actual_vs_plan[metric] = ""recovery_pct"")"
29,Monthly Recovery Variance,Variance Review,02 Monthly Actual vs Plan,fact_monthly_actual_vs_plan,Monthly Actual vs Plan,2,Core Monthly Story,Decimal Number,"#,##0.00","KPI Card, Line Chart, or Matrix",Use with a single month filter or single month page context.,Absolute recovery variance for the selected month.,Absolute recovery variance for the selected month.,"Monthly Recovery Variance = CALCULATE(MAX(fact_monthly_actual_vs_plan[variance_value]), fact_monthly_actual_vs_plan[metric] = ""recovery_pct"")"
30,Monthly Plan Copper Production,Variance Review,02 Monthly Actual vs Plan,fact_monthly_actual_vs_plan,Monthly Actual vs Plan,2,Core Monthly Story,Whole Number,"#,##0",KPI Card or Matrix,Use with a single month filter or single month page context.,Planned copper production for the selected month.,Planned copper production for the selected month.,"Monthly Plan Copper Production = CALCULATE(MAX(fact_monthly_actual_vs_plan[plan_value]), fact_monthly_actual_vs_plan[metric] = ""copper_production_tonnes"")"
31,Monthly Actual Copper Production,Variance Review,02 Monthly Actual vs Plan,fact_monthly_actual_vs_plan,Monthly Actual vs Plan,2,Core Monthly Story,Whole Number,"#,##0",KPI Card or Matrix,Use with a single month filter or single month page context.,Actual copper production for the selected month.,Actual copper production for the selected month.,"Monthly Actual Copper Production = CALCULATE(MAX(fact_monthly_actual_vs_plan[actual_value]), fact_monthly_actual_vs_plan[metric] = ""copper_production_tonnes"")"
32,Monthly Copper Production Variance,Variance Review,02 Monthly Actual vs Plan,fact_monthly_actual_vs_plan,Monthly Actual vs Plan,2,Core Monthly Story,Whole Number,"#,##0",KPI Card or Matrix,Use with a single month filter or single month page context.,Absolute copper production variance for the selected month.,Absolute copper production variance for the selected month.,"Monthly Copper Production Variance = CALCULATE(MAX(fact_monthly_actual_vs_plan[variance_value]), fact_monthly_actual_vs_plan[metric] = ""copper_production_tonnes"")"
33,Monthly Availability Actual,Process Diagnostics,03 Process Performance,mart_monthly_process_performance,Process Performance,3,Core Monthly Story,Percentage,0.0%;-0.0%;0.0%,"KPI Card, Column Chart, or Matrix",Use with a single month filter or single month page context.,Plant availability used to explain operating slippage.,Plant availability used to explain operating slippage.,Monthly Availability Actual = MAX(mart_monthly_process_performance[availability_pct_actual])
34,Monthly Utilization Actual,Process Diagnostics,03 Process Performance,mart_monthly_process_performance,Process Performance,3,Core Monthly Story,Percentage,0.0%;-0.0%;0.0%,"KPI Card, Column Chart, or Matrix",Use with a single month filter or single month page context.,Plant utilization used to explain operating slippage.,Plant utilization used to explain operating slippage.,Monthly Utilization Actual = MAX(mart_monthly_process_performance[utilization_pct_actual])
35,Monthly Downtime Hours,Process Diagnostics,03 Process Performance,kpi_monthly_summary,Process Performance,3,Core Monthly Story,Whole Number,"#,##0",KPI Card or Matrix,Use with a single month filter or single month page context.,Monthly downtime hours used as management-control context.,Monthly downtime hours used as management-control context.,Monthly Downtime Hours = SUM(kpi_monthly_summary[downtime_hours_actual])
36,Site Production Gap Contribution %,Executive Monitoring,01 Executive Overview,mart_monthly_by_site,Executive Overview,1,Core Monthly Story,Percentage,0.0%;-0.0%;0.0%,"KPI Card, Column Chart, or Matrix",Use with a single month filter or single month page context.,Share of the monthly production shortfall attributable to the selected site.,Share of the monthly production shortfall attributable to the selected site.,Site Production Gap Contribution % = MAX(mart_monthly_by_site[site_production_gap_share_pct])
