review_order,dataset_name,source_file,appendix_submodule,output_role,grain,primary_question_answered,when_to_use,recommended_visual_or_review,why_secondary,public_safe_boundary,input_dependency_role,generated_from
1,annual_appendix_dataset_catalog,annual_appendix_dataset_catalog.csv,Appendix Input Governance,Annual input dataset catalog,One row per annual appendix source table.,Which canonical annual appendix tables feed the secondary valuation and risk layer?,Use first when validating or adapting the appendix input contract.,Read-only governance table.,It governs the appendix inputs rather than the main monthly monitoring layer.,"Documents a planning-style annual input contract, not a full mine-planning or finance platform.",appendix_input_governance,Canonical annual appendix tables
2,annual_appendix_field_catalog,annual_appendix_field_catalog.csv,Appendix Input Governance,Annual input field catalog,One row per annual appendix input field.,"What does each annual appendix field mean before running valuation, scenarios, or Monte Carlo?",Use before adapting the appendix to a private annual source.,Read-only field dictionary.,It documents appendix input semantics rather than the core monthly BI model.,Defines repository-governed annual contracts without implying ERP or planning-system integration.,appendix_input_governance,Canonical annual appendix tables
3,fact_scenario_kpis,fact_scenario_kpis.csv,Deterministic Scenario Comparison,Scenario KPI summary,One row per scenario_id and KPI metric.,"How do the main deterministic scenarios change NPV, IRR, throughput, margin proxy, and cash metrics?",Use after the monthly management story when you need planning-style scenario context.,Scenario cards or a compact scenario comparison matrix.,"These are strategic scenario summaries, not the operating control layer.","Scenario definitions are synthetic and public-safe, not asset-grade investment cases.",canonical_or_adapter_driven_appendix_fact,Canonical annual appendix tables
4,fact_annual_metrics,fact_annual_metrics.csv,Deterministic Scenario Comparison,Annual scenario trend fact,"One row per scenario_id, year, and metric.","How do revenue, EBITDA, cash flow, capex, throughput, grade, and recovery evolve by year in each scenario?",Use only when an appendix reviewer needs yearly trend context behind a scenario headline.,Annual lines or a focused trend matrix.,Annual scenario traces support strategy discussion but do not drive the monthly control story.,Yearly profiles are planning-style reconstructions from governed annual inputs.,canonical_or_adapter_driven_appendix_fact,Canonical annual appendix tables
5,simulation_summary,simulation_summary.csv,Monte Carlo Downside,Downside summary,One row per summary risk metric.,"What do expected NPV, median NPV, loss probability, VaR, and CVaR look like under the public-safe downside design?",Use for downside framing after deterministic scenario review.,KPI cards or a short downside table.,"This is a communication appendix for uncertainty, not the primary BI layer.",The simulation is stylized and should not be described as a structural commodity-risk engine.,canonical_or_adapter_driven_appendix_fact,Canonical annual appendix tables
6,fact_simulation_distribution,fact_simulation_distribution.csv,Monte Carlo Downside,Simulation distribution,One row per simulation iteration.,How wide is the simulated NPV distribution?,Use when you need a histogram or percentiles behind the summary cards.,Histogram only.,"Iteration-level records are analytical support, not management control outputs.",Distribution shape reflects the chosen public-safe simulation design rather than full asset uncertainty.,canonical_or_adapter_driven_appendix_fact,Canonical annual appendix tables
7,simulation_percentiles,simulation_percentiles.csv,Monte Carlo Downside,Percentile summary,One row per percentile cutoff.,Where do key percentile checkpoints sit in the simulated NPV distribution?,Use for quick downside table readouts without loading the full iteration histogram.,Percentile table.,Percentiles are supporting context for appendix interpretation.,Percentiles inherit the same stylized simulation assumptions as the distribution.,canonical_or_adapter_driven_appendix_fact,Canonical annual appendix tables
8,fact_tornado_sensitivity,fact_tornado_sensitivity.csv,Sensitivity Framing,One-way sensitivity fact,One row per driver and direction.,Which planning drivers move NPV the most in simple one-way shocks?,Use for investment-style discussion of dominant value drivers.,Tornado chart.,This is strategic framing and should not displace the monthly operating narrative.,"Sensitivity shocks are simplified scenario shocks, not a full probabilistic factor model.",canonical_or_adapter_driven_appendix_fact,Canonical annual appendix tables
9,fact_heatmap_price_grade,fact_heatmap_price_grade.csv,Sensitivity Framing,Joint stress grid,One row per price_factor and grade_factor combination.,How does NPV behave when copper price and head grade move together?,Use for compact stress-testing discussion after the scenario and downside readout.,Heatmap.,"This is an appendix stress surface, not an operating KPI view.",The grid is a stylized stress-test surface and not a corporate planning system.,canonical_or_adapter_driven_appendix_fact,Canonical annual appendix tables
10,benchmark_comparison,benchmark_comparison.csv,Benchmark Transparency,Reconciliation audit,One row per benchmarked metric.,Which appendix outputs are directly comparable to the benchmark source and which are reference-only?,Use whenever a reviewer asks about workbook parity or reconstruction credibility.,Audit table.,"Benchmarking explains appendix credibility, but it is not the repository's operating product.",The table is intentionally explicit about mismatch and should not be used as a parity claim beyond its stated scope.,benchmark_transparency,Canonical appendix benchmark table
