import_order,table_name,source_file,table_role,subject_area,grain,key_columns,recommended_action,modeling_note
1,dim_site,dim_site.csv,Dimension,Monthly Monitoring,One row per site_id.,site_id,Connect,Use as the shared site dimension across the monthly monitoring model.
2,dim_month,dim_month.csv,Dimension,Monthly Monitoring,One row per monthly reporting period.,period,Connect,Use as the shared month dimension across the monthly monitoring model.
3,dim_monthly_metric,dim_monthly_metric.csv,Dimension,Monthly Monitoring,One row per monitored monthly KPI.,metric,Connect,Use as the KPI selector and attribute table for fact_monthly_actual_vs_plan.
4,dim_process_area,dim_process_area.csv,Dimension,Monthly Monitoring,One row per process_area.,process_area,Connect,Use as the optional shared process-area dimension for process-driver drill visuals.
5,dim_cost_center,dim_cost_center.csv,Dimension,Monthly Monitoring,One row per cost_center.,cost_center,Connect,Use as the optional shared cost-center dimension for cost-pressure drill visuals.
6,kpi_monthly_summary,kpi_monthly_summary.csv,Wide KPI Mart,Monthly Monitoring,One row per site_id and period (YYYY-MM).,"site_id, period",Connect,"Use for executive cards, alert rollups, and compact management-style tables filtered by dim_site and dim_month."
7,fact_monthly_actual_vs_plan,fact_monthly_actual_vs_plan.csv,Fact,Monthly Monitoring,"One row per site_id, period, and metric.","site_id, period, metric",Connect,"Use for plan-versus-actual variance visuals and metric drill-down filtered by shared site, month, and metric dimensions."
8,mart_monthly_executive_overview,mart_monthly_executive_overview.csv,Subject Mart,Monthly Monitoring,One row per site_id and period (YYYY-MM).,"site_id, period",Connect,"Use for the executive page if you prefer a narrower mart than kpi_monthly_summary, with shared site and month filters."
9,mart_monthly_process_performance,mart_monthly_process_performance.csv,Subject Mart,Monthly Monitoring,One row per site_id and period (YYYY-MM).,"site_id, period",Connect,Use for process-driver trends and supporting process tables filtered by shared site and month dimensions.
10,mart_monthly_cost_margin,mart_monthly_cost_margin.csv,Subject Mart,Monthly Monitoring,One row per site_id and period (YYYY-MM).,"site_id, period",Connect,"Use for cost, revenue proxy, EBITDA proxy, and cash proxy trends filtered by shared site and month dimensions."
11,mart_monthly_by_site,mart_monthly_by_site.csv,Subject Mart,Monthly Monitoring,One row per site_id and period (YYYY-MM).,"site_id, period",Connect,"Use for site contribution to production gaps, downtime concentration, and cost pressure with shared month filtering."
12,mart_process_driver_summary,mart_process_driver_summary.csv,Detail Mart,Monthly Monitoring,"One row per site_id, period, and process_area.","site_id, period, process_area",Connect,"Use for process-area downtime, feed-mix, and production-gap drill-down with shared site, month, and process-area filters."
13,mart_cost_center_summary,mart_cost_center_summary.csv,Detail Mart,Monthly Monitoring,"One row per site_id, period, and cost_center.","site_id, period, cost_center",Connect,"Use for cost-center variance, unit-cost pressure, and margin-pressure drill-down with shared site, month, and cost-center filters."
14,dashboard_page_catalog,dashboard_page_catalog.csv,Reference,Starter Kit,One row per report page.,page_order,Keep disconnected,"Use as a report-planning reference, not as a filter table."
15,powerbi_measure_catalog,powerbi_measure_catalog.csv,Reference,Starter Kit,One row per recommended measure.,measure_name,Keep disconnected,Use as a build checklist for DAX creation.
16,monthly_kpi_dictionary,monthly_kpi_dictionary.csv,Reference,Starter Kit,One row per monitored monthly KPI.,metric,Keep disconnected,"Use to clarify KPI meaning, units, proxy status, and page usage."
17,dim_year,dim_year.csv,Dimension,Advanced Appendix,One row per project year.,year,Connect,Use only if the appendix includes annual trend charts.
18,dim_metric,dim_metric.csv,Dimension,Advanced Appendix,One row per annual planning metric.,metric,Connect,Use only for appendix scenario and annual metric visuals.
19,dim_scenario,dim_scenario.csv,Dimension,Advanced Appendix,One row per deterministic scenario.,scenario_id,Connect,Use for appendix scenario selectors and scenario comparisons.
20,fact_annual_metrics,fact_annual_metrics.csv,Fact,Advanced Appendix,"One row per scenario_id, year, and metric.","scenario_id, year, metric",Connect,Use only if the appendix includes annual scenario context visuals.
21,fact_scenario_kpis,fact_scenario_kpis.csv,Fact,Advanced Appendix,One row per scenario_id and KPI metric.,"scenario_id, metric",Connect,"Use for scenario cards, comparison tables, and NPV / IRR cards in the appendix."
22,simulation_summary,simulation_summary.csv,Summary,Advanced Appendix,One row per simulation summary metric.,metric,Keep disconnected,"Use for Probability of Loss, VaR, CVaR, and expected NPV cards."
23,simulation_percentiles,simulation_percentiles.csv,Summary,Advanced Appendix,One row per percentile cutoff.,percentile,Keep disconnected,Use for appendix percentile tables.
24,fact_simulation_distribution,fact_simulation_distribution.csv,Fact,Advanced Appendix,One row per simulation iteration.,iteration,Keep disconnected,Use for the NPV histogram only.
25,fact_tornado_sensitivity,fact_tornado_sensitivity.csv,Fact,Advanced Appendix,One row per driver and direction.,"driver_label, direction",Keep disconnected,Use for the tornado chart in the appendix.
26,fact_heatmap_price_grade,fact_heatmap_price_grade.csv,Fact,Advanced Appendix,One row per price_factor and grade_factor combination.,"price_factor, grade_factor",Keep disconnected,Use for the price-grade heatmap in the appendix.
27,benchmark_comparison,benchmark_comparison.csv,Transparency,Advanced Appendix,One row per benchmarked metric.,metric,Keep disconnected,Use for benchmark transparency and reconciliation discussion.
