site_id,period,throughput_tonnes_plan,head_grade_pct_plan,recovery_pct_plan,unit_cost_usd_per_tonne_plan,copper_price_usd_per_lb_plan,tc_rc_usd_per_lb_plan,payable_percent_plan,sustaining_capex_usd_plan,working_capital_change_usd_plan,plan_version
demo_north_concentrator,2025-01,237800,0.75,86.6,17.95,3.92,0.25,96.5,1792000,648000,sample_demo_budget_2025
demo_north_concentrator,2025-02,234900,0.77,86.8,17.75,3.98,0.25,96.5,1680000,432000,sample_demo_budget_2025
demo_north_concentrator,2025-03,244850,0.76,87.1,17.55,4.05,0.25,96.5,1736000,324000,sample_demo_budget_2025
demo_north_concentrator,2025-04,247800,0.78,87.4,17.45,4.12,0.25,96.5,1680000,216000,sample_demo_budget_2025
demo_north_concentrator,2025-05,256800,0.79,87.8,17.35,4.18,0.25,96.5,1792000,162000,sample_demo_budget_2025
demo_north_concentrator,2025-06,259200,0.81,88.0,17.25,4.22,0.25,96.5,1904000,108000,sample_demo_budget_2025
demo_north_concentrator,2025-07,262800,0.82,88.2,17.15,4.25,0.25,96.5,1848000,54000,sample_demo_budget_2025
demo_north_concentrator,2025-08,264000,0.83,88.3,17.05,4.28,0.25,96.5,1792000,54000,sample_demo_budget_2025
demo_north_concentrator,2025-09,261960,0.82,88.2,17.15,4.24,0.25,96.5,1736000,108000,sample_demo_budget_2025
demo_north_concentrator,2025-10,264320,0.81,88.0,17.25,4.2,0.25,96.5,1680000,216000,sample_demo_budget_2025
demo_north_concentrator,2025-11,262160,0.8,87.7,17.35,4.12,0.25,96.5,1792000,270000,sample_demo_budget_2025
demo_north_concentrator,2025-12,263900,0.79,87.4,17.45,4.08,0.25,96.5,1848000,378000,sample_demo_budget_2025
demo_south_concentrator,2025-01,172200,0.679,87.076,19.021,3.92,0.25,96.5,1408000,552000,sample_demo_budget_2025
demo_south_concentrator,2025-02,170100,0.699,87.276,18.821,3.98,0.25,96.5,1320000,368000,sample_demo_budget_2025
demo_south_concentrator,2025-03,170150,0.687,87.588,18.648,4.05,0.25,96.5,1364000,276000,sample_demo_budget_2025
demo_south_concentrator,2025-04,172200,0.707,87.888,18.548,4.12,0.25,96.5,1320000,184000,sample_demo_budget_2025
demo_south_concentrator,2025-05,171200,0.715,88.3,18.475,4.18,0.25,96.5,1408000,138000,sample_demo_budget_2025
demo_south_concentrator,2025-06,172800,0.735,88.5,18.375,4.22,0.25,96.5,1496000,92000,sample_demo_budget_2025
demo_south_concentrator,2025-07,175200,0.745,88.7,18.275,4.25,0.25,96.5,1452000,46000,sample_demo_budget_2025
demo_south_concentrator,2025-08,176000,0.755,88.8,18.175,4.28,0.25,96.5,1408000,46000,sample_demo_budget_2025
demo_south_concentrator,2025-09,182040,0.747,88.688,18.248,4.24,0.25,96.5,1364000,92000,sample_demo_budget_2025
demo_south_concentrator,2025-10,183680,0.737,88.488,18.348,4.2,0.25,96.5,1320000,184000,sample_demo_budget_2025
demo_south_concentrator,2025-11,189840,0.729,88.176,18.421,4.12,0.25,96.5,1408000,230000,sample_demo_budget_2025
demo_south_concentrator,2025-12,191100,0.719,87.876,18.521,4.08,0.25,96.5,1452000,322000,sample_demo_budget_2025
