page_order,page_name,visual_order,visual_title,visual_type,source_table,key_dimensions,key_measures,business_question
1,Executive Overview,1,Monthly Throughput Actual,KPI Card,kpi_monthly_summary,dim_site[site_name]; dim_month[month_label],Monthly Throughput Actual,How much material did the plant process this month?
1,Executive Overview,2,Monthly Revenue Proxy Actual,KPI Card,kpi_monthly_summary,dim_site[site_name]; dim_month[month_label],Monthly Revenue Proxy Actual,What is the current commercial scale implied by the monthly monitoring layer?
1,Executive Overview,3,Monthly EBITDA Proxy Actual,KPI Card,kpi_monthly_summary,dim_site[site_name]; dim_month[month_label],Monthly EBITDA Proxy Actual,What operating earnings proxy is management seeing this month?
1,Executive Overview,4,Monthly Operating Cash Flow Proxy Actual,KPI Card,kpi_monthly_summary,dim_site[site_name]; dim_month[month_label],Monthly Operating Cash Flow Proxy Actual,What monthly liquidity proxy does the monitoring layer show?
1,Executive Overview,5,Monthly Free Cash Flow Proxy Actual,KPI Card,kpi_monthly_summary,dim_site[site_name]; dim_month[month_label],Monthly Free Cash Flow Proxy Actual,How much cash is being retained after sustaining burden and working capital movement?
1,Executive Overview,6,Monthly Critical Alerts,KPI Card,kpi_monthly_summary,dim_site[site_name]; dim_month[month_label],Monthly Critical Alerts,How many severe deviations require immediate management attention?
1,Executive Overview,7,Monthly Warning Alerts,KPI Card,kpi_monthly_summary,dim_site[site_name]; dim_month[month_label],Monthly Warning Alerts,How many moderate deviations need follow-up this month?
1,Executive Overview,8,Monthly Overall Alert Level,KPI Card,kpi_monthly_summary,dim_site[site_name]; dim_month[month_label],Monthly Overall Alert Level,What concise status should management take away from the month?
1,Executive Overview,9,Management Attention Matrix,Matrix,kpi_monthly_summary,dim_month[month_label],throughput_tonnes_actual; revenue_proxy_usd_actual; ebitda_proxy_usd_actual; primary_alert_metric; overall_alert_level,Which monthly outcomes and alerts should management review first?
1,Executive Overview,10,Site Contribution To Production Gap,Bar Chart,mart_monthly_by_site,dim_site[site_name],site_production_gap_tonnes; site_production_gap_share_pct,Which site is driving the monthly production shortfall most heavily?
2,Monthly Actual vs Plan,1,Plan vs Actual Matrix,Matrix,fact_monthly_actual_vs_plan,dim_monthly_metric[display_name],plan_value; actual_value; variance_value; variance_pct; alert_level,Where are the largest plan-versus-actual deviations by KPI?
2,Monthly Actual vs Plan,2,Throughput Variance,Column Chart,fact_monthly_actual_vs_plan,dim_month[month_label],Monthly Throughput Variance %,When is throughput under plan and by how much?
2,Monthly Actual vs Plan,3,Head Grade Variance,Column Chart,fact_monthly_actual_vs_plan,dim_month[month_label],Monthly Head Grade Variance %,How much is grade contributing to the production gap?
2,Monthly Actual vs Plan,4,Recovery Variance,Column Chart,fact_monthly_actual_vs_plan,dim_month[month_label],Monthly Recovery Variance %,How much is recovery contributing to the production gap?
2,Monthly Actual vs Plan,5,Copper Production Variance,Column Chart,fact_monthly_actual_vs_plan,dim_month[month_label],Monthly Copper Production Variance %,What is the monthly production shortfall or outperformance versus plan?
2,Monthly Actual vs Plan,6,Unit Cost Variance,Column Chart,fact_monthly_actual_vs_plan,dim_month[month_label],Monthly Unit Cost Variance %,When are unit costs drifting above plan and by how much?
3,Process Performance,1,Head Grade Trend,Line Chart,mart_monthly_process_performance,dim_month[month_label],head_grade_pct_actual,What head grade trend is the plant receiving over the monitoring window?
3,Process Performance,2,Recovery Trend,Line Chart,mart_monthly_process_performance,dim_month[month_label],recovery_pct_actual,What recovery trend explains the monthly performance story?
3,Process Performance,3,Availability Trend,Line Chart,mart_monthly_process_performance,dim_month[month_label],availability_pct_actual,Is equipment availability constraining plant performance?
3,Process Performance,4,Utilization Trend,Line Chart,mart_monthly_process_performance,dim_month[month_label],utilization_pct_actual,Is plant loading consistent with the expected monthly operating tempo?
3,Process Performance,5,Process Driver Table,Table,mart_monthly_process_performance,dim_month[month_label],throughput_tonnes_actual; head_grade_pct_actual; recovery_pct_actual; availability_pct_actual; utilization_pct_actual,Which process drivers help explain the production result each month?
3,Process Performance,6,Downtime By Process Area,Stacked Column Chart,mart_process_driver_summary,dim_process_area[process_area]; dim_month[month_label],downtime_hours; downtime_share_pct,Which process areas are concentrating monthly downtime?
3,Process Performance,7,Process Area Production Gap Share,Bar Chart,mart_process_driver_summary,dim_process_area[process_area],negative_production_gap_tonnes; process_area_production_gap_share_pct,Which process areas explain the largest share of the production gap?
4,Cost and Margin,1,Operating Cost vs Unit Cost,Line and Clustered Column Chart,mart_monthly_cost_margin,dim_month[month_label],operating_cost_usd_actual; unit_cost_usd_per_tonne_actual,How are total cost pressure and cost intensity moving together?
4,Cost and Margin,2,Revenue Proxy Trend,Line Chart,mart_monthly_cost_margin,dim_month[month_label],revenue_proxy_usd_actual,Is the top-line proxy strengthening or deteriorating month over month?
4,Cost and Margin,3,EBITDA Proxy Trend,Line Chart,mart_monthly_cost_margin,dim_month[month_label],ebitda_proxy_usd_actual,What is happening to the monthly margin proxy after cost pressure?
4,Cost and Margin,4,Operating Cash Flow Proxy Trend,Line Chart,mart_monthly_cost_margin,dim_month[month_label],operating_cash_flow_proxy_usd_actual,How is the monthly operating cash proxy evolving?
4,Cost and Margin,5,Free Cash Flow Proxy Trend,Line Chart,mart_monthly_cost_margin,dim_month[month_label],free_cash_flow_proxy_usd_actual,How much cash support or pressure is visible after capex and working capital effects?
4,Cost and Margin,6,Cost Variance By Cost Center,Bar Chart,mart_cost_center_summary,dim_cost_center[cost_center],cost_variance_usd,Which cost centers are creating the largest monthly cost variance?
4,Cost and Margin,7,Margin Pressure Share By Cost Center,Bar Chart,mart_cost_center_summary,dim_cost_center[cost_center],cost_center_margin_pressure_share_pct,Which cost centers are driving margin pressure most materially?
5,Advanced Scenario / Risk Appendix,1,Selected Scenario NPV,KPI Card,fact_scenario_kpis,dim_scenario[scenario_name],Selected Scenario NPV,What valuation is implied by the selected deterministic scenario?
5,Advanced Scenario / Risk Appendix,2,Selected Scenario IRR,KPI Card,fact_scenario_kpis,dim_scenario[scenario_name],Selected Scenario IRR,What return metric accompanies that scenario valuation?
5,Advanced Scenario / Risk Appendix,3,Scenario Summary Matrix,Matrix,dim_scenario + fact_scenario_kpis,dim_scenario[scenario_name],Scenario Revenue; Scenario EBITDA; Scenario Avg Throughput; Scenario Avg Unit Opex,How do the main deterministic scenarios compare side by side?
5,Advanced Scenario / Risk Appendix,4,Probability of Loss,KPI Card,simulation_summary,none,Probability of Loss,How much downside probability does the simulation imply?
5,Advanced Scenario / Risk Appendix,5,VaR 5%,KPI Card,simulation_summary,none,VaR 5%,Where is the left-tail threshold under downside stress?
5,Advanced Scenario / Risk Appendix,6,CVaR 5%,KPI Card,simulation_summary,none,CVaR 5%,How severe are the average bad-tail outcomes beyond VaR?
5,Advanced Scenario / Risk Appendix,7,Distribution Histogram,Histogram,fact_simulation_distribution,npv_usd bin,row count,How wide is the NPV distribution and how heavy is the left tail?
5,Advanced Scenario / Risk Appendix,8,Percentile Table,Table,simulation_percentiles,percentile,npv_usd,Which percentile cutoffs frame the downside and upside range?
5,Advanced Scenario / Risk Appendix,9,Tornado Chart,Diverging Bar Chart,fact_tornado_sensitivity,driver_label; direction,impact_vs_base_usd,Which drivers matter most for valuation sensitivity?
5,Advanced Scenario / Risk Appendix,10,Price Grade Heatmap,Matrix Heatmap,fact_heatmap_price_grade,price_factor; grade_factor,npv_usd,Where does valuation break under joint price and grade stress?
5,Advanced Scenario / Risk Appendix,11,Workbook vs Python Benchmark,Table,benchmark_comparison,dim_monthly_metric[metric],benchmark_value; python_value; reconciliation_status; gap; pct_gap,How close is the Python layer to the benchmark workbook where comparison is valid?
