metric,display_name,metric_group,metric_role,business_meaning,unit,proxy_flag,dashboard_page,page_usage_note,alert_direction,warning_threshold_pct,critical_threshold_pct,plan_column,actual_column,variance_column,variance_pct_column,display_order
throughput_tonnes,Throughput,Operations,Operational actual-vs-plan KPI,Processed plant tonnes for the month and the main physical volume KPI for plan control.,tonnes,False,Monthly Actual vs Plan,Use on Executive Overview and Monthly Actual vs Plan.,lower_is_bad,0.03,0.06,throughput_tonnes_plan,throughput_tonnes_actual,throughput_tonnes_variance,throughput_tonnes_variance_pct,1
head_grade_pct,Head Grade,Process Performance,Process driver KPI,"Average copper grade in plant feed for the month, used to explain production outcomes.",percent,False,Process Performance,Use on Monthly Actual vs Plan and Process Performance.,lower_is_bad,0.02,0.04,head_grade_pct_plan,head_grade_pct_actual,head_grade_pct_variance,head_grade_pct_variance_pct,2
recovery_pct,Recovery,Process Performance,Process driver KPI,Metallurgical recovery achieved during the month.,percent,False,Process Performance,Use on Monthly Actual vs Plan and Process Performance.,lower_is_bad,0.015,0.03,recovery_pct_plan,recovery_pct_actual,recovery_pct_variance,recovery_pct_variance_pct,3
copper_production_tonnes,Copper Production,Production,Production KPI,Recovered copper production for the month after grade and recovery effects.,tonnes,False,Monthly Actual vs Plan,Use on Executive Overview and Monthly Actual vs Plan.,lower_is_bad,0.03,0.05,copper_production_tonnes_plan,copper_production_tonnes_actual,copper_production_tonnes_variance,copper_production_tonnes_variance_pct,4
copper_price_usd_per_lb,Copper Price,Market,Market input KPI,Monthly copper market price assumption used in the revenue proxy logic.,USD/lb,False,Executive Overview,Use sparingly on Executive Overview or support visuals where price explains revenue movement.,lower_is_bad,0.03,0.06,copper_price_usd_per_lb_plan,copper_price_usd_per_lb_actual,copper_price_usd_per_lb_variance,copper_price_usd_per_lb_variance_pct,5
net_realized_price_usd_per_lb,Net Realized Price,Market,Commercial proxy KPI,Copper price net of treatment and refining charges used in the revenue proxy logic.,USD/lb,True,Executive Overview,Use as supporting context for revenue proxy interpretation.,lower_is_bad,0.03,0.06,net_realized_price_usd_per_lb_plan,net_realized_price_usd_per_lb_actual,net_realized_price_usd_per_lb_variance,net_realized_price_usd_per_lb_variance_pct,6
unit_cost_usd_per_tonne,Unit Cost,Cost,Cost efficiency KPI,Operating cost per processed tonne for the month.,USD/t,False,Cost and Margin,Use on Monthly Actual vs Plan and Cost and Margin.,higher_is_bad,0.05,0.1,unit_cost_usd_per_tonne_plan,unit_cost_usd_per_tonne_actual,unit_cost_usd_per_tonne_variance,unit_cost_usd_per_tonne_variance_pct,7
operating_cost_usd,Operating Cost,Cost,Cost burden KPI,Total monthly operating cost across the modeled cost buckets.,USD,False,Cost and Margin,Use on Cost and Margin.,higher_is_bad,0.05,0.1,operating_cost_usd_plan,operating_cost_usd_actual,operating_cost_usd_variance,operating_cost_usd_variance_pct,8
revenue_proxy_usd,Revenue Proxy,Economics,Economic proxy KPI,Management-control proxy for monthly payable copper revenue. It is not accounting revenue.,USD,True,Executive Overview,Use on Executive Overview and Cost and Margin.,lower_is_bad,0.03,0.08,revenue_proxy_usd_plan,revenue_proxy_usd_actual,revenue_proxy_usd_variance,revenue_proxy_usd_variance_pct,9
ebitda_proxy_usd,EBITDA Proxy,Economics,Economic proxy KPI,Management-control proxy for monthly EBITDA. It is not statutory EBITDA.,USD,True,Cost and Margin,Use on Executive Overview and Cost and Margin.,lower_is_bad,0.05,0.1,ebitda_proxy_usd_plan,ebitda_proxy_usd_actual,ebitda_proxy_usd_variance,ebitda_proxy_usd_variance_pct,10
operating_cash_flow_proxy_usd,Operating Cash Flow Proxy,Economics,Cash proxy KPI,Monthly operating cash generation proxy after working-capital movement.,USD,True,Executive Overview,Use on Executive Overview and Cost and Margin.,lower_is_bad,0.05,0.1,operating_cash_flow_proxy_usd_plan,operating_cash_flow_proxy_usd_actual,operating_cash_flow_proxy_usd_variance,operating_cash_flow_proxy_usd_variance_pct,11
free_cash_flow_proxy_usd,Free Cash Flow Proxy,Economics,Cash proxy KPI,Monthly free cash flow proxy after sustaining capex and working-capital movement.,USD,True,Executive Overview,Use on Executive Overview and Cost and Margin.,lower_is_bad,0.08,0.15,free_cash_flow_proxy_usd_plan,free_cash_flow_proxy_usd_actual,free_cash_flow_proxy_usd_variance,free_cash_flow_proxy_usd_variance_pct,12
sustaining_capex_usd,Sustaining Capex,Investment,Investment burden KPI,Monthly sustaining capital burden included in the cash proxy logic.,USD,False,Cost and Margin,Use on Cost and Margin as supporting cash interpretation.,higher_is_bad,0.08,0.15,sustaining_capex_usd_plan,sustaining_capex_usd_actual,sustaining_capex_usd_variance,sustaining_capex_usd_variance_pct,13
working_capital_change_usd,Working Capital Change,Working Capital,Working capital KPI,Monthly working-capital build or release assumption included in the cash proxy logic.,USD,False,Cost and Margin,Use on Cost and Margin as supporting cash interpretation.,higher_is_bad,0.1,0.2,working_capital_change_usd_plan,working_capital_change_usd_actual,working_capital_change_usd_variance,working_capital_change_usd_variance_pct,14
